datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,trfd,epf,exchg,tpci,monthend
4/1/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1823737,,94.82,92.69,10,1,1.50185161,Y,104,0,0
4/2/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1017672,93.41557020899789,93.87,92.74,10,1,1.50185161,Y,104,0,0
4/3/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,,93.34045168233378,,,5,1,1.50185161,Y,104,0,0
4/6/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,,93.26539356094295,,,5,1,1.50185161,Y,104,0,0
4/7/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1502934,91.77157128331895,93.8,91.65,10,1,1.50185161,Y,104,0,0
4/8/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1625501,90.33011005781569,93.08,91.72,10,1,1.50185161,Y,104,0,0
4/9/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1482712,90.67461035359777,93.89,92.67,10,1,1.50185161,Y,104,0,0
4/10/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1336978,90.73258093043138,94.86,93.54,10,1,1.50185161,Y,104,0,0
4/13/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1170634,90.92655083089956,95.58,93.58,10,1,1.50185161,Y,104,0,0
4/14/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1746645,90.26741677921329,95.7,93.14,10,1,1.50185161,Y,104,0,0
4/15/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,3428798,87.09155197,96.09,90.75,10,1,1.50185161,Y,104,0,0
4/16/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,3877400,84.98288819217129,90.5,87.65,10,1,1.50185161,Y,104,0,0
4/17/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,2837962,86.35582982883415,88.63,86.94,10,1,1.50185161,Y,104,0,0
4/20/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,2075707,86.49747125607246,89.37,87.82,10,1,1.50185161,Y,104,0,0
4/21/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,3054371,88.20382113786324,92.21,90.08,10,1,1.50185161,Y,104,0,0
4/22/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,5177303,97.67177363736857,103.45,97.11,10,1,1.50185161,Y,104,0,0
4/23/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,2297609,96.63199026799526,101.9,99.72,10,1,1.50185161,Y,104,0,0
4/24/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,2186987,95.36812369351138,100.3,98.9,10,1,1.51245898,Y,104,0,0
4/27/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,2047617,96.33487165603873,102.05,97.91,10,1,1.51245898,Y,104,0,0
4/28/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1472243,96.59104035923477,101.35,99.27,10,1,1.51245898,Y,104,0,0
4/29/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1912896,96.03029326679818,100.55,96.98,10,1,1.51245898,Y,104,0,0
4/30/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,2189675,96.09676153108342,97.83,95.3,10,1,1.51245898,Y,104,0,1
5/1/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,,96.32886622,,,5,1,1.51245898,Y,104,0,0
5/4/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1204990,95.73137175,98.77,95.63,10,1,1.51245898,Y,104,0,0
5/5/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1710422,95.21506721483964,98.2,94.59,10,1,1.51245898,Y,104,0,0
5/6/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1560218,94.68867711145718,95.42,93.33,10,1,1.51245898,Y,104,0,0
5/7/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1541305,94.72218444271859,94.53,92.14,10,1,1.51245898,Y,104,0,0
5/8/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1331899,94.10816965710414,96.67,94.21,10,1,1.51245898,Y,104,0,0
5/11/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1150595,94.85957135,97.71,95.82,10,1,1.51245898,Y,104,0,0
5/12/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1600244,95.24110962871002,96.98,95.27,10,1,1.51245898,Y,104,0,0
5/13/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1369941,94.37731920294283,97.14,95.07,10,1,1.51245898,Y,104,0,0
5/14/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,830835,95.07698416,97.21,94.95,10,1,1.51245898,Y,104,0,0
5/15/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1320484,95.63210341985373,98.17,96.79,10,1,1.51245898,Y,104,0,0
5/18/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,795267,95.45460791,97.8,95.97,10,1,1.51245898,Y,104,0,0
5/19/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,1009198,95.78254211868243,100.45,98.2,10,1,1.51245898,Y,104,0,0
5/20/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,621678,96.08173040654114,101.1,99.8,10,1,1.51245898,Y,104,0,0
5/21/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,456863,95.38327698616935,100.65,99.91,10,1,1.51245898,Y,104,0,0
5/22/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,513759,95.34076547005591,100.95,99.68,10,1,1.51245898,Y,104,0,0
5/25/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,129441,95.19484579854537,100.85,99.7,10,1,1.51245898,Y,104,0,0
5/26/2015,61214,01W,ASML HOLDING NV,EUR,1,438271869,764492,95.74757449811455,101.35,99.53,10,1,1.51245898,Y,104,0,0
5/27/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,948499,96.60512199574794,102.6,99.9,10,1,1.51245898,Y,104,0,0
5/28/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,1140203,98.40206221402404,104.85,102.8,10,1,1.51245898,Y,104,0,0
5/29/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,1274779,98.27062257379984,104.1,101.75,10,1,1.51245898,Y,104,0,1
6/1/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,734532,98.09487395950632,103.2,101.25,10,1,1.51245898,Y,104,0,0
6/2/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,1140005,96.66059484573924,102.3,99.07,10,1,1.51245898,Y,104,0,0
6/3/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,986202,97.08607843216106,101.2,99,10,1,1.51245898,Y,104,0,0
6/4/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,1376031,97.51734810492839,100.8,98.24,10,1,1.51245898,Y,104,0,0
6/5/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,1164698,97.37675453568895,99.3,97.67,10,1,1.51245898,Y,104,0,0
6/8/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,1001504,96.67139093577781,98.06,96.49,10,1,1.51245898,Y,104,0,0
6/9/2015,61214,01W,ASML HOLDING NV,EUR,1,433140818,1266232,96.91348698885531,97.12,95.09,10,1,1.51245898,Y,104,0,0
6/10/2015,61214,01W,ASML HOLDING NV,EUR,1,433328238,1208446,95.32475135790982,97.25,95.32,10,1,1.51245898,Y,104,0,0
6/11/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1432360,95.68910599128878,99.66,96.5,10,1,1.51245898,Y,104,0,0
6/12/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1198797,94.865583,97.97,95.2,10,1,1.51245898,Y,104,0,0
6/15/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1214683,95.65770094719869,96.02,94.52,10,1,1.51245898,Y,104,0,0
6/16/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1223972,96.40708472858631,97.21,94.52,10,1,1.51245898,Y,104,0,0
6/17/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1085061,95.71277266757306,97.4,95.38,10,1,1.51245898,Y,104,0,0
6/18/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1120260,95.17176710199651,95.56,93.1,10,1,1.51245898,Y,104,0,0
6/19/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,2037850,95.53031226999273,97.14,95.22,10,1,1.51245898,Y,104,0,0
6/22/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1465166,95.96523365843116,99.54,97.65,10,1,1.51245898,Y,104,0,0
6/23/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,979262,95.28066257785686,100.6,99.57,10,1,1.51245898,Y,104,0,0
6/24/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1078680,94.84419361466793,100,98.09,10,1,1.51245898,Y,104,0,0
6/25/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1068624,95.21984103,100.1,97.83,10,1,1.51245898,Y,104,0,0
6/26/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1117043,94.64537160256641,99.46,97.11,10,1,1.51245898,Y,104,0,0
6/29/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,2240275,93.00358941205431,96.14,93.4,10,1,1.51245898,Y,104,0,0
6/30/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,2045878,92.79103971902681,95,92.7,10,1,1.51245898,Y,104,0,1
7/1/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,2243506,94.98130341030878,97.54,93.69,10,1,1.51245898,Y,104,0,0
7/2/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1461378,92.90259884471348,95.65,94.01,10,1,1.51245898,Y,104,0,0
7/3/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,948751,92.89749716,95.02,93.38,10,1,1.51245898,Y,104,0,0
7/6/2015,61214,01W,ASML HOLDING NV,EUR,1,433332427,1566562,92.95455469470609,93.2,91.03,10,1,1.51245898,Y,104,0,0
