datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,10193.0,,103.0,100.5,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-02,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,5659.0,102.50572054145235,103.0,101.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-03,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,,102.51995462007463,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-06,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,,102.53419067525972,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-07,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,18443.0,103.50848691915638,105.3,102.8,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-08,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,5430.0,102.38360247786476,104.6,103.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-09,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,7010.0,103.53881194286194,106.0,103.8,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-10,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,22925.0,103.46401731996929,106.9,104.8,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-13,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,19442.0,103.60322480241206,107.1,106.1,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
2015-04-14,4439,04W,TELEFONAKTIEBOLAGET LM ERICS,SEK,1.0,261755983.0,34121.0,104.42038302055167,111.3,106.9,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
