datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,5574807.0,,11.24,10.97,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-02,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,4867257.0,11.330204674296242,11.3,11.125,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-03,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,,11.324534496961254,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-06,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,,11.318867157254703,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-07,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,6361455.0,11.358241303839037,11.52,11.295,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-08,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,5884103.0,11.265135291509187,11.5,11.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-09,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,4986387.0,11.241021559479798,11.535,11.31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-10,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,6711984.0,11.364221867477916,11.815,11.585,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-13,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,4563439.0,11.443525020602806,11.955,11.775,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-14,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,5696167.0,11.492236498956771,11.98,11.835,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-15,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,5743399.0,11.223599736381189,11.925,11.715,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-16,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,4884088.0,11.153491494579498,11.745,11.54,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-17,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,6707649.0,11.040597978488409,11.545,11.21,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-20,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,4011827.0,11.18251236348107,11.5,11.175,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-21,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,4976691.0,11.32496503740344,11.79,11.595,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-22,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,5070716.0,11.317647170181633,11.89,11.62,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-23,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,6678283.0,11.074623429244516,11.63,11.36,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-24,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,4977309.0,11.05354402813192,11.585,11.355,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-27,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,6378973.0,11.205344983224942,11.725,11.305,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-28,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,4425767.0,11.034893519262084,11.695,11.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-29,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,7187892.0,10.79466900507178,11.435,10.83,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-04-30,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,11747151.0,10.596490960186125,10.745,10.4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,1
2015-05-01,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,,10.615125466767228,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
2015-05-04,132740,01W,INFINEON TECHNOLOGIES AG,EUR,1,1128878164.0,6349363.0,11.006749442820782,11.09,10.495,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
