datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,46460960.0,,2.225,2.195066,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-02,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,42690520.0,2.249970427893973,2.2305,2.198,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-03,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,,2.2506880619259677,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-06,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,,2.251405924849239,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-07,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,51403420.0,2.255409312721517,2.258,2.2114,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-08,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,42686790.0,2.2265887242651474,2.255,2.224,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-09,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,41845960.0,2.239523627444517,2.2655,2.22,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-10,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,134244600.0,2.259484425583057,2.299,2.253,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-13,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,29443660.0,2.2560870708137064,2.298,2.276,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-14,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,40705690.0,2.2661132583591352,2.3063,2.2755,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-15,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,43803480.0,2.240884285348415,2.3075,2.275,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-16,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,50345670.0,2.248944147912634,2.301,2.267,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-17,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,67098840.0,2.2666728084869585,2.2965,2.258,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-20,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,39558850.0,2.2792150910188034,2.3,2.264,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-21,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,45268780.0,2.2557176171054243,2.3065,2.26738,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-22,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,46013290.0,2.261599883742533,2.3,2.256,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-23,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,49640220.0,2.2943680130963986,2.31,2.272,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-24,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,68319400.0,2.3107637411730018,2.352,2.30463,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-27,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,40781250.0,2.2981389041751275,2.34175,2.292,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-28,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,70900510.0,2.2925973372833015,2.324,2.276,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-29,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,57682600.0,2.338819474098334,2.34,2.297,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-30,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,52364040.0,2.3488244067009543,2.32388,2.28581,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,1
