datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,103487,02W,SAP SE,EUR,1,1228504232.0,3126940.0,,68.19,66.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-02,103487,02W,SAP SE,EUR,1,1228504232.0,2315052.0,66.83146127942172,67.5,66.71,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-03,103487,02W,SAP SE,EUR,1,1228504232.0,,66.80246642575202,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-06,103487,02W,SAP SE,EUR,1,1228504232.0,,66.77348415151006,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-07,103487,02W,SAP SE,EUR,1,1228504232.0,2859128.0,66.29915827515617,67.96,66.85,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-08,103487,02W,SAP SE,EUR,1,1228504232.0,2334907.0,65.87648929665073,68.04,67.35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-09,103487,02W,SAP SE,EUR,1,1228504232.0,2285617.0,65.86221992597625,68.23,67.45,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-10,103487,02W,SAP SE,EUR,1,1228504232.0,2967981.0,66.15076751227413,69.25,68.55,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-13,103487,02W,SAP SE,EUR,1,1228504232.0,1816451.0,66.08844740028297,69.39,68.88,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-14,103487,02W,SAP SE,EUR,1,1228504232.0,2414807.0,66.03806025046495,69.39,68.48,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-15,103487,02W,SAP SE,EUR,1,1228504232.0,1978986.0,65.61059211854189,69.36,68.41,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-16,103487,02W,SAP SE,EUR,1,1228504232.0,3175669.0,65.09343691621434,68.81,67.63,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-17,103487,02W,SAP SE,EUR,1,1228504232.0,4926181.0,65.1086318873333,67.94,66.44,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
2015-04-20,103487,02W,SAP SE,EUR,1,1228504232.0,3094875.0,65.35550601629221,67.69,66.02,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
