datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2264814.0,,8.745,8.536,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-02,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,1713176.0,8.663494939081833,8.687,8.516,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-03,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,,8.656730661934109,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-06,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,,8.649971666193675,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-07,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2063012.0,8.455277199375093,8.71,8.569,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-08,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2384431.0,8.327645326972233,8.595,8.398,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-09,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,1624331.0,8.33404244660158,8.654,8.52,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-10,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2530759.0,8.457548774507673,8.904,8.667,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-13,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2066851.0,8.556686121008138,9.082,8.883,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-14,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2074837.0,8.450473193038636,9.037,8.805,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-15,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,3020391.0,8.338229556703217,8.958,8.753,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-16,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2509715.0,8.423388292767592,8.949,8.724,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-17,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2909412.0,8.312309468909456,8.884,8.505,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-20,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,1646362.0,8.340754005644392,8.644,8.514,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
2015-04-21,31142,01W,STMICROELECTRONICS NV,EUR,1.0,910559805.0,2656158.0,8.59213811920562,9.021,8.683,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
