  datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,46460960.0,,2.225,2.195066,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-02,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,42690520.0,2.2474436603102443,2.2305,2.198,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-03,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,,2.24823446998825,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-06,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,,2.249025557929048,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-07,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,51403420.0,2.2553991141068863,2.258,2.2114,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-08,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,42686790.0,2.2263878829428854,2.255,2.224,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-09,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,41845960.0,2.240699905650238,2.2655,2.22,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-10,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,134244600.0,2.262110674426244,2.299,2.253,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-13,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,29443660.0,2.2591442927825987,2.298,2.276,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-14,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,40705690.0,2.2690980548069755,2.3063,2.2755,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-15,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,43803480.0,2.2462192965505174,2.3075,2.275,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-16,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,50345670.0,2.2544463637345014,2.301,2.267,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-17,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,67098840.0,2.2744412247449763,2.2965,2.258,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-20,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,39558850.0,2.288317962455426,2.3,2.264,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-21,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,45268780.0,2.259082159631666,2.3065,2.26738,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
2015-04-22,14894,01W,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085.0,46013290.0,2.2663749957835404,2.3,2.256,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
