gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
4439,04W,2015-04-01,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,10193,102.6,103,100.5,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-02,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,5659,102.4,103,101,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-03,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,,102.4,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-06,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,,102.4,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-07,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,18443,104.9,105.3,102.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-08,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,5430,103.8,104.6,103,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-09,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,7010,106,106,103.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-10,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,22925,106.8,106.9,104.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-13,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,19442,107.1,107.1,106.1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-14,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,34121,107.5,111.3,106.9,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53546105,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-15,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,11635,104,109,103.5,10,1,SEK,,,3.4,3.4,3.4,,TW,3.4,,,,,,,,,2015-01-27,,2015-04-21,,,2015-04-21,2015-04-16,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-16,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,15725,102.2,104.3,102.2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-17,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,8657,99.9,104,99.9,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-20,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,6143,102.2,102.2,100,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-21,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,19901,103.6,104.6,100,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-22,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,14530,103.5,104.9,102.2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-23,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,457349,95.05,99,92.15,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-24,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,42155,94.15,96.5,94.05,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-27,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,42697,93.85,94.5,93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-28,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,31497,91.75,93.8,91.65,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-29,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,35649,90.3,93,89.55,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-04-30,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,18139,87.65,89.6,87.65,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,1
4439,04W,2015-05-01,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,,87.65,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-05-04,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,25351,87.2,88.35,87,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-05-05,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,58370,86.6,89.15,85.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
4439,04W,2015-05-06,TELEFONAKTIEBOLAGET LM ERICS,SEK,1,261755983,22500,85.3,87.8,85.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58565882,Y,256,5957480,0,SWE,SWE,0
