gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
101944,02W,2015-04-01,CAPGEMINI SE,EUR,1,163592949,426718,76.75,77.77,75.58,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-02,CAPGEMINI SE,EUR,1,163592949,360712,76.9,77.15,76.57,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-03,CAPGEMINI SE,EUR,1,163592949,,76.9,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-06,CAPGEMINI SE,EUR,1,163592949,,76.9,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-07,CAPGEMINI SE,EUR,1,163592949,731801,78.52,79.03,76.74,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-08,CAPGEMINI SE,EUR,1,163592949,631012,77.84,78.52,77.01,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-09,CAPGEMINI SE,EUR,1,163592949,588139,79.2,79.32,77.98,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-10,CAPGEMINI SE,EUR,1,163592949,642800,79.5,80.38,79.13,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-13,CAPGEMINI SE,EUR,1,163592949,426905,79.62,79.74,78.89,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-14,CAPGEMINI SE,EUR,1,163592949,567594,79.56,80,79.15,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-15,CAPGEMINI SE,EUR,1,163592949,573587,78.82,80.04,78.71,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-16,CAPGEMINI SE,EUR,1,163592949,820999,79.3,79.97,78.53,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-17,CAPGEMINI SE,EUR,1,163592949,928590,77.09,79.95,76.84,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-20,CAPGEMINI SE,EUR,1,163592949,738237,78.29,78.29,76.97,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-21,CAPGEMINI SE,EUR,1,163592949,816459,78.77,79.99,78.6,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
101944,02W,2015-04-22,CAPGEMINI SE,EUR,1,163592949,726534,80.14,80.56,78.86,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
