gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
132740,01W,2015-04-01,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,5574807,11.1,11.24,10.97,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-02,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,4867257,11.195,11.3,11.125,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-03,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,,11.195,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-06,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,,11.195,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-07,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,6361455,11.475,11.52,11.295,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-08,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,5884103,11.395,11.5,11.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-09,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,4986387,11.535,11.535,11.31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-10,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,6711984,11.805,11.815,11.585,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-13,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,4563439,11.92,11.955,11.775,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-14,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,5696167,11.91,11.98,11.835,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-15,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,5743399,11.735,11.925,11.715,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-16,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,4884088,11.565,11.745,11.54,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-17,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,6707649,11.235,11.545,11.21,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-20,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,4011827,11.5,11.5,11.175,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-21,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,4976691,11.68,11.79,11.595,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-22,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,5070716,11.685,11.89,11.62,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-23,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,6678283,11.41,11.63,11.36,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-24,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,4977309,11.42,11.585,11.355,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-27,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,6378973,11.72,11.725,11.305,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-28,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,4425767,11.37,11.695,11.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-29,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,7187892,10.83,11.435,10.83,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-04-30,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,11747151,10.58,10.745,10.4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,1
132740,01W,2015-05-01,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,,10.58,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-04,INFINEON TECHNOLOGIES AG,EUR,1,1128878164,6349363,11.02,11.09,10.495,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-05,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,9920222,10.755,11.445,10.755,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-06,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,7721273,10.975,11.135,10.825,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-07,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,9153944,11.275,11.285,10.925,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-08,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,6028529,11.4,11.41,11.21,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-11,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,3838687,11.43,11.435,11.35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-12,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,6979933,11.37,11.45,11.13,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-13,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,4200392,11.21,11.5,11.175,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-14,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,4257967,11.345,11.37,11.09,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-15,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,5329173,11.39,11.52,11.325,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-18,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,3976418,11.57,11.57,11.275,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-19,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,4775937,11.75,11.82,11.6,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-20,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,4050961,11.835,11.915,11.725,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-21,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,3081891,11.845,11.87,11.74,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-22,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,3459494,11.675,11.855,11.645,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-25,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,,11.675,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-26,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,4233393,11.605,11.775,11.54,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-27,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,5678799,11.79,11.79,11.505,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-28,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,14282119,12.17,12.525,11.855,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-05-29,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,8449148,11.87,12.215,11.865,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,1
132740,01W,2015-06-01,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,5640128,12,12.145,11.89,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-06-02,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,6598609,11.885,12.055,11.745,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-06-03,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,6164802,11.935,12.04,11.805,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-06-04,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,4043762,11.85,11.92,11.625,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
132740,01W,2015-06-05,INFINEON TECHNOLOGIES AG,EUR,1,1128924634,4963982,11.73,11.86,11.67,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09998087,Y,171,5889505,0,DEU,DEU,0
