gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
103487,02W,2015-04-01,SAP SE,EUR,1,1228504232,3126940,67.4,68.19,66.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-02,SAP SE,EUR,1,1228504232,2315052,67.07,67.5,66.71,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-03,SAP SE,EUR,1,1228504232,,67.07,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-06,SAP SE,EUR,1,1228504232,,67.07,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-07,SAP SE,EUR,1,1228504232,2859128,67.7,67.96,66.85,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-08,SAP SE,EUR,1,1228504232,2334907,67.35,68.04,67.35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-09,SAP SE,EUR,1,1228504232,2285617,68.1,68.23,67.45,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-10,SAP SE,EUR,1,1228504232,2967981,69.05,69.25,68.55,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-13,SAP SE,EUR,1,1228504232,1816451,69.13,69.39,68.88,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-14,SAP SE,EUR,1,1228504232,2414807,68.79,69.39,68.48,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-15,SAP SE,EUR,1,1228504232,1978986,68.76,69.36,68.41,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-16,SAP SE,EUR,1,1228504232,3175669,67.74,68.81,67.63,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-17,SAP SE,EUR,1,1228504232,4926181,66.61,67.94,66.44,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-20,SAP SE,EUR,1,1228504232,3094875,67.41,67.69,66.02,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-21,SAP SE,EUR,1,1228504232,4988572,68.94,69.73,68.52,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-22,SAP SE,EUR,1,1228504232,3938297,69.14,69.97,68.2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-23,SAP SE,EUR,1,1228504232,2987324,68.91,69.82,68.39,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-24,SAP SE,EUR,1,1228504232,2729236,69.12,69.78,68.72,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-27,SAP SE,EUR,1,1228504232,3948916,70.72,70.81,68.8,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
103487,02W,2015-04-28,SAP SE,EUR,1,1228504232,3552559,69.81,70.54,69.52,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61282792,Y,171,4846288,0,DEU,DEU,0
