gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
31142,01W,2015-04-01,STMICROELECTRONICS NV,EUR,1,910559805,2264814,8.576,8.745,8.536,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-02,STMICROELECTRONICS NV,EUR,1,910559805,1713176,8.612,8.687,8.516,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-03,STMICROELECTRONICS NV,EUR,1,910559805,,8.612,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-06,STMICROELECTRONICS NV,EUR,1,910559805,,8.612,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-07,STMICROELECTRONICS NV,EUR,1,910559805,2063012,8.621,8.71,8.569,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-08,STMICROELECTRONICS NV,EUR,1,910559805,2384431,8.507,8.595,8.398,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-09,STMICROELECTRONICS NV,EUR,1,910559805,1624331,8.654,8.654,8.52,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-10,STMICROELECTRONICS NV,EUR,1,910559805,2530759,8.904,8.904,8.667,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-13,STMICROELECTRONICS NV,EUR,1,910559805,2066851,9.037,9.082,8.883,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-14,STMICROELECTRONICS NV,EUR,1,910559805,2074837,8.873,9.037,8.805,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-15,STMICROELECTRONICS NV,EUR,1,910559805,3020391,8.833,8.958,8.753,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-16,STMICROELECTRONICS NV,EUR,1,910559805,2509715,8.835,8.949,8.724,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-17,STMICROELECTRONICS NV,EUR,1,910559805,2909412,8.509,8.884,8.505,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-20,STMICROELECTRONICS NV,EUR,1,910559805,1646362,8.64,8.644,8.514,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-21,STMICROELECTRONICS NV,EUR,1,910559805,2656158,8.977,9.021,8.683,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-22,STMICROELECTRONICS NV,EUR,1,910559805,3339612,9.274,9.292,8.91,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-23,STMICROELECTRONICS NV,EUR,1,910559805,3555979,8.855,9.235,8.83,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-24,STMICROELECTRONICS NV,EUR,1,910559805,2886494,8.705,8.936,8.664,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-27,STMICROELECTRONICS NV,EUR,1,910559805,2900518,8.839,8.867,8.656,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-28,STMICROELECTRONICS NV,EUR,1,910559805,3147451,8.512,8.85,8.469,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-29,STMICROELECTRONICS NV,EUR,1,910559805,3688440,8.211,8.63,8.211,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-04-30,STMICROELECTRONICS NV,EUR,1,910559805,11069670,7.12,7.868,7.109,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,1
31142,01W,2015-05-01,STMICROELECTRONICS NV,EUR,1,910559805,,7.12,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-04,STMICROELECTRONICS NV,EUR,1,910559805,5439358,7.004,7.166,6.857,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-05,STMICROELECTRONICS NV,EUR,1,910559805,6866257,6.792,6.992,6.772,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-06,STMICROELECTRONICS NV,EUR,1,910559805,4646073,6.888,7.029,6.755,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-07,STMICROELECTRONICS NV,EUR,1,910559805,3091334,6.94,6.95,6.723,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-08,STMICROELECTRONICS NV,EUR,1,910559805,3207120,7,7.077,6.915,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-11,STMICROELECTRONICS NV,EUR,1,910559805,3341070,7.042,7.042,6.848,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-12,STMICROELECTRONICS NV,EUR,1,910559805,7250330,7.214,7.409,6.854,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-13,STMICROELECTRONICS NV,EUR,1,910559805,4287231,7.12,7.289,7.085,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-14,STMICROELECTRONICS NV,EUR,1,910559805,1954267,7.206,7.24,7.015,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-15,STMICROELECTRONICS NV,EUR,1,910559805,2365267,7.112,7.293,7.097,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-18,STMICROELECTRONICS NV,EUR,1,910559805,1860193,7.216,7.216,7.059,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-19,STMICROELECTRONICS NV,EUR,1,910559805,2688607,7.307,7.316,7.24,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-20,STMICROELECTRONICS NV,EUR,1,910559805,2771363,7.446,7.493,7.281,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-21,STMICROELECTRONICS NV,EUR,1,910559805,1447932,7.429,7.493,7.347,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-22,STMICROELECTRONICS NV,EUR,1,910559805,1580695,7.431,7.442,7.322,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-25,STMICROELECTRONICS NV,EUR,1,910559805,370705,7.325,7.462,7.31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-26,STMICROELECTRONICS NV,EUR,1,910559805,2053952,7.393,7.457,7.264,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-27,STMICROELECTRONICS NV,EUR,1,910559805,2726751,7.579,7.58,7.338,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-28,STMICROELECTRONICS NV,EUR,1,910559805,6159023,7.851,7.95,7.59,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-05-29,STMICROELECTRONICS NV,EUR,1,910559805,4802438,7.774,7.862,7.665,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,1
31142,01W,2015-06-01,STMICROELECTRONICS NV,EUR,1,910559805,2448737,7.702,7.883,7.685,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-02,STMICROELECTRONICS NV,EUR,1,910559805,3641076,7.761,7.83,7.655,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-03,STMICROELECTRONICS NV,EUR,1,910559805,2878056,7.684,7.796,7.661,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-04,STMICROELECTRONICS NV,EUR,1,910559805,3009816,7.665,7.802,7.51,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-05,STMICROELECTRONICS NV,EUR,1,910559805,2944216,7.64,7.654,7.509,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-08,STMICROELECTRONICS NV,EUR,1,910559805,2171925,7.619,7.65,7.501,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-09,STMICROELECTRONICS NV,EUR,1,910559805,2961074,7.496,7.547,7.371,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-10,STMICROELECTRONICS NV,EUR,1,910559805,2786548,7.498,7.577,7.392,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-11,STMICROELECTRONICS NV,EUR,1,910559805,3441136,7.487,7.613,7.468,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-12,STMICROELECTRONICS NV,EUR,1,910559805,2480716,7.448,7.504,7.35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42121518,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-15,STMICROELECTRONICS NV,EUR,1,910559805,2071186,7.202,7.334,7.163,10,1,USD,,,0.1,0.1,0.1,,,0.1,,,,,,,,,2015-05-27,,2015-06-17,,,2015-06-17,2015-06-16,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-16,STMICROELECTRONICS NV,EUR,1,910559805,3346929,7.391,7.436,7.1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-17,STMICROELECTRONICS NV,EUR,1,910559805,2118268,7.209,7.476,7.192,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-18,STMICROELECTRONICS NV,EUR,1,910559805,2185276,7.116,7.202,6.983,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-19,STMICROELECTRONICS NV,EUR,1,910559805,3095375,7.052,7.221,7.052,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-22,STMICROELECTRONICS NV,EUR,1,910559805,3536669,7.354,7.383,7.241,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-23,STMICROELECTRONICS NV,EUR,1,910559805,2753204,7.57,7.644,7.407,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-24,STMICROELECTRONICS NV,EUR,1,910559805,2109569,7.462,7.625,7.444,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-25,STMICROELECTRONICS NV,EUR,1,910559805,2922715,7.608,7.63,7.361,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-26,STMICROELECTRONICS NV,EUR,1,910559805,2465680,7.717,7.734,7.487,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-29,STMICROELECTRONICS NV,EUR,1,910559805,4003279,7.469,7.606,7.251,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-06-30,STMICROELECTRONICS NV,EUR,1,910559805,4206875,7.355,7.452,7.267,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,1
31142,01W,2015-07-01,STMICROELECTRONICS NV,EUR,1,910559805,2763819,7.375,7.52,7.275,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-02,STMICROELECTRONICS NV,EUR,1,910559805,2161499,7.251,7.395,7.233,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-03,STMICROELECTRONICS NV,EUR,1,910559805,1219813,7.261,7.374,7.203,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-06,STMICROELECTRONICS NV,EUR,1,910559805,3062679,7.376,7.431,7.041,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-07,STMICROELECTRONICS NV,EUR,1,910559805,4416857,7.025,7.335,7.005,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-08,STMICROELECTRONICS NV,EUR,1,910559805,2733182,6.982,7.086,6.9,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-09,STMICROELECTRONICS NV,EUR,1,910559805,2284818,7.064,7.16,6.95,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-10,STMICROELECTRONICS NV,EUR,1,910559805,1602938,7.181,7.242,7.1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-13,STMICROELECTRONICS NV,EUR,1,910559805,3696256,7.169,7.292,7.083,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-14,STMICROELECTRONICS NV,EUR,1,910559805,1869321,7.223,7.26,7.127,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-15,STMICROELECTRONICS NV,EUR,1,910559805,1736523,7.382,7.428,7.216,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-16,STMICROELECTRONICS NV,EUR,1,910559805,2805716,7.356,7.553,7.324,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-17,STMICROELECTRONICS NV,EUR,1,910559805,1545651,7.45,7.45,7.381,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-20,STMICROELECTRONICS NV,EUR,1,910559805,2347501,7.44,7.551,7.387,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-21,STMICROELECTRONICS NV,EUR,1,910559805,2932979,7.309,7.513,7.287,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-22,STMICROELECTRONICS NV,EUR,1,910559805,7948724,6.805,7.1,6.805,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-23,STMICROELECTRONICS NV,EUR,1,910559805,5930573,7.332,7.42,6.978,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-24,STMICROELECTRONICS NV,EUR,1,910559805,2556832,7.154,7.336,7.116,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-27,STMICROELECTRONICS NV,EUR,1,910559805,2807689,6.958,7.214,6.957,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-28,STMICROELECTRONICS NV,EUR,1,910559805,2914367,6.95,7.018,6.853,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-29,STMICROELECTRONICS NV,EUR,1,910559805,1798536,7.028,7.07,6.95,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-30,STMICROELECTRONICS NV,EUR,1,910559805,2398026,7.126,7.142,6.951,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-07-31,STMICROELECTRONICS NV,EUR,1,910559805,1521993,7.113,7.14,7.01,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,1
31142,01W,2015-08-03,STMICROELECTRONICS NV,EUR,1,910559805,1186695,7.09,7.15,7.027,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-04,STMICROELECTRONICS NV,EUR,1,910559805,1553072,6.925,7.062,6.907,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-05,STMICROELECTRONICS NV,EUR,1,910559805,2214086,7.12,7.136,6.91,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-06,STMICROELECTRONICS NV,EUR,1,910559805,1791801,6.953,7.115,6.953,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-07,STMICROELECTRONICS NV,EUR,1,910559805,1495402,7.028,7.077,6.94,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-10,STMICROELECTRONICS NV,EUR,1,910559805,1642964,7.118,7.118,7.007,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-11,STMICROELECTRONICS NV,EUR,1,910559805,2138015,7.012,7.178,6.969,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-12,STMICROELECTRONICS NV,EUR,1,910559805,3360782,6.712,6.953,6.682,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-13,STMICROELECTRONICS NV,EUR,1,910559805,1564456,6.693,6.845,6.674,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-14,STMICROELECTRONICS NV,EUR,1,910559805,2174408,6.61,6.759,6.57,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-17,STMICROELECTRONICS NV,EUR,1,910559805,1461582,6.682,6.699,6.56,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-18,STMICROELECTRONICS NV,EUR,1,910559805,1522484,6.679,6.781,6.669,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-19,STMICROELECTRONICS NV,EUR,1,910559805,1700078,6.555,6.662,6.532,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-20,STMICROELECTRONICS NV,EUR,1,910559805,1936235,6.367,6.556,6.347,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-21,STMICROELECTRONICS NV,EUR,1,910559805,3021640,6.289,6.465,6.207,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-24,STMICROELECTRONICS NV,EUR,1,910559805,5008396,6.014,6.175,5.731,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-25,STMICROELECTRONICS NV,EUR,1,910559805,2966732,6.36,6.398,6.058,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-26,STMICROELECTRONICS NV,EUR,1,910559805,2302178,6.253,6.459,6.175,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-27,STMICROELECTRONICS NV,EUR,1,910559805,2583236,6.501,6.552,6.36,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-28,STMICROELECTRONICS NV,EUR,1,910559805,1471354,6.57,6.582,6.458,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-08-31,STMICROELECTRONICS NV,EUR,1,910559805,1805827,6.473,6.528,6.391,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,1
31142,01W,2015-09-01,STMICROELECTRONICS NV,EUR,1,910559805,1539811,6.445,6.449,6.29,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-02,STMICROELECTRONICS NV,EUR,1,910559805,1338948,6.397,6.54,6.38,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-03,STMICROELECTRONICS NV,EUR,1,910559805,2298692,6.624,6.678,6.428,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-04,STMICROELECTRONICS NV,EUR,1,910559805,1891956,6.494,6.618,6.455,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-07,STMICROELECTRONICS NV,EUR,1,910559805,1033267,6.572,6.595,6.429,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-08,STMICROELECTRONICS NV,EUR,1,910559805,1404413,6.683,6.788,6.601,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-09,STMICROELECTRONICS NV,EUR,1,910559805,4350559,6.427,6.879,6.372,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-10,STMICROELECTRONICS NV,EUR,1,910559805,2143032,6.326,6.501,6.278,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-11,STMICROELECTRONICS NV,EUR,1,910559805,1299427,6.194,6.358,6.194,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-14,STMICROELECTRONICS NV,EUR,1,910559805,1821917,6.146,6.32,6.109,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-15,STMICROELECTRONICS NV,EUR,1,910559805,2231953,6.291,6.314,6.139,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
31142,01W,2015-09-16,STMICROELECTRONICS NV,EUR,1,910559805,1223725,6.376,6.415,6.318,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43875837,N,286,5962332,0,NLD,NLD,0
