gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
14894,01W,2015-04-01,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,46460960,2.2005,2.225,2.195066,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-02,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,42690520,2.222,2.2305,2.198,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-03,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,,2.222,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-06,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,,2.222,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-07,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,51403420,2.254,2.258,2.2114,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-08,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,42686790,2.2255,2.255,2.224,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-09,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,41845960,2.257,2.2655,2.22,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-10,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,134244600,2.293,2.299,2.253,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-13,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,29443660,2.292,2.298,2.276,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-14,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,40705690,2.2935,2.3063,2.2755,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-15,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,43803480,2.279,2.3075,2.275,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-16,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,50345670,2.274,2.301,2.267,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-17,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,67098840,2.264,2.2965,2.258,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-20,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,39558850,2.29,2.3,2.264,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-21,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,45268780,2.269,2.3065,2.26738,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-22,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,46013290,2.275,2.3,2.256,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-23,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,49640220,2.3035,2.31,2.272,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
14894,01W,2015-04-24,VODAFONE GROUP PUBLIC LTD,GBP,1,26512038085,68319400,2.3225,2.352,2.30463,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3339358,Y,194,BH4HKS3,0,GBR,GBR,0
