gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
61214,01W,2015-04-01,ASML HOLDING NV,EUR,1,438271869,1823737,92.78,94.82,92.69,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-02,ASML HOLDING NV,EUR,1,438271869,1017672,93.04,93.87,92.74,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-03,ASML HOLDING NV,EUR,1,438271869,,93.04,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-06,ASML HOLDING NV,EUR,1,438271869,,93.04,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-07,ASML HOLDING NV,EUR,1,438271869,1502934,93.32,93.8,91.65,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-08,ASML HOLDING NV,EUR,1,438271869,1625501,92.01,93.08,91.72,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-09,ASML HOLDING NV,EUR,1,438271869,1482712,93.59,93.89,92.67,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-10,ASML HOLDING NV,EUR,1,438271869,1336978,94.7,94.86,93.54,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-13,ASML HOLDING NV,EUR,1,438271869,1170634,95.16,95.58,93.58,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-14,ASML HOLDING NV,EUR,1,438271869,1746645,94.05,95.7,93.14,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
61214,01W,2015-04-15,ASML HOLDING NV,EUR,1,438271869,3428798,91.4,96.09,90.75,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
