gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
200363,02W,2015-04-01,ATOS SE,EUR,134.6007,101332527,251811,64.11,64.87,63.81,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-02,ATOS SE,EUR,134.6007,101332527,208471,64.48,64.6,64.06,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-03,ATOS SE,EUR,134.6007,101332527,,64.48,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-06,ATOS SE,EUR,134.6007,101332527,,64.48,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-07,ATOS SE,EUR,134.6007,101332527,352692,65.22,65.5,64.69,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-08,ATOS SE,EUR,134.6007,101332527,348711,64.92,65.39,64.55,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-09,ATOS SE,EUR,134.6007,101332527,455712,66.71,66.98,64.9,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-10,ATOS SE,EUR,134.6007,101332527,300097,67.26,67.39,66.81,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-13,ATOS SE,EUR,134.6007,101332527,650404,68.59,68.83,67.62,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-14,ATOS SE,EUR,134.6007,101332527,568069,68.04,68.79,67.74,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-15,ATOS SE,EUR,134.6007,101332527,673026,69.37,69.77,68.26,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-16,ATOS SE,EUR,134.6007,101332527,518906,68.24,69.65,68.19,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-17,ATOS SE,EUR,134.6007,101332527,635090,67.2,68.64,66.83,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-20,ATOS SE,EUR,134.6007,101332527,474320,67.2,68.06,66.93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-21,ATOS SE,EUR,134.6007,101332527,799738,67.02,68.05,66.86,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-22,ATOS SE,EUR,134.6007,101332527,849131,67.74,68.04,66.68,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-23,ATOS SE,EUR,134.6007,101332527,1075605,69.86,70,66.93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-24,ATOS SE,EUR,134.6007,101332527,956750,71.35,71.87,69.83,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-27,ATOS SE,EUR,134.6007,101332527,743788,72.21,72.28,70.23,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-28,ATOS SE,EUR,134.6007,101332527,412528,71.14,72.18,70.64,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-29,ATOS SE,EUR,134.6007,101332527,491270,69.93,71.37,69.82,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-04-30,ATOS SE,EUR,134.6007,101525245,782547,69.85,70.39,68.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,1
200363,02W,2015-05-01,ATOS SE,EUR,134.6007,101525245,,69.85,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-04,ATOS SE,EUR,134.6007,101525245,453204,71.81,72.29,70.14,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-05,ATOS SE,EUR,134.6007,101525245,563859,69.69,72.17,69.69,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-06,ATOS SE,EUR,134.6007,101525245,469662,69.15,70.1,68.87,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-07,ATOS SE,EUR,134.6007,101525245,629036,69.66,69.71,67.93,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-08,ATOS SE,EUR,134.6007,101525245,363907,70.72,70.84,69.82,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-11,ATOS SE,EUR,134.6007,101525245,459051,71.49,71.59,70.31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-12,ATOS SE,EUR,134.6007,101525245,516489,70.34,71.25,69.68,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-13,ATOS SE,EUR,134.6007,101525245,324913,70.75,71.31,70.51,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-14,ATOS SE,EUR,134.6007,101525245,212679,71.29,71.5,70,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-15,ATOS SE,EUR,134.6007,101525245,294686,71.09,71.91,70.7,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-18,ATOS SE,EUR,134.6007,101525245,260839,71.79,71.79,70.59,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-19,ATOS SE,EUR,134.6007,101525245,484022,72.39,72.48,71.84,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-20,ATOS SE,EUR,134.6007,101525245,211491,72.77,72.81,72.08,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-21,ATOS SE,EUR,134.6007,101525245,382665,73.23,73.44,72.68,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-22,ATOS SE,EUR,134.6007,101525245,490613,71.54,73.62,71.31,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-25,ATOS SE,EUR,134.6007,101525245,80099,71.49,71.67,70.69,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-26,ATOS SE,EUR,134.6007,101525245,388599,70.55,71.66,70.38,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-27,ATOS SE,EUR,134.6007,101525245,348461,71.7,71.7,70.35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
200363,02W,2015-05-28,ATOS SE,EUR,134.6007,101525245,331046,71.73,72.34,71.27,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05930099,Y,286,5654781,0,FRA,FRA,0
