gvkey,iid,datadate,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
63169,01W,2015-04-01,DASSAULT SYSTEMES SE,EUR,5,255723498,497596,61.72,62.21,61.2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-02,DASSAULT SYSTEMES SE,EUR,5,255723498,339493,61.69,62.41,61.03,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-03,DASSAULT SYSTEMES SE,EUR,5,255723498,,61.69,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-06,DASSAULT SYSTEMES SE,EUR,5,255723498,,61.69,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-07,DASSAULT SYSTEMES SE,EUR,5,255723498,429073,62.85,63.05,61.73,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-08,DASSAULT SYSTEMES SE,EUR,5,255230678,303371,62.01,62.94,62.01,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-09,DASSAULT SYSTEMES SE,EUR,5,255230678,443199,63.49,63.64,61.83,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-10,DASSAULT SYSTEMES SE,EUR,5,255230678,451599,63.73,64.71,63.35,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-13,DASSAULT SYSTEMES SE,EUR,5,255230678,280797,63.89,63.94,63.41,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
63169,01W,2015-04-14,DASSAULT SYSTEMES SE,EUR,5,255230678,356692,63.9,64.35,63.52,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16319246,Y,286,BM8H5Y5,0,FRA,FRA,0
