datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,101944,02W,CAPGEMINI SE,EUR,1,163592949,426718.0,,77.77,75.58,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-02,101944,02W,CAPGEMINI SE,EUR,1,163592949,360712.0,77.29530040084596,77.15,76.57,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-03,101944,02W,CAPGEMINI SE,EUR,1,163592949,,77.27260517746386,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-06,101944,02W,CAPGEMINI SE,EUR,1,163592949,,77.24991661778785,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-07,101944,02W,CAPGEMINI SE,EUR,1,163592949,731801.0,77.44351739039634,79.03,76.74,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-08,101944,02W,CAPGEMINI SE,EUR,1,163592949,631012.0,76.7012382631452,78.52,77.01,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-09,101944,02W,CAPGEMINI SE,EUR,1,163592949,588139.0,77.08295643131122,79.32,77.98,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-10,101944,02W,CAPGEMINI SE,EUR,1,163592949,642800.0,76.56574849112823,80.38,79.13,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-13,101944,02W,CAPGEMINI SE,EUR,1,163592949,426905.0,76.50944081626551,79.74,78.89,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-14,101944,02W,CAPGEMINI SE,EUR,1,163592949,567594.0,76.80209353568358,80.0,79.15,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
2015-04-15,101944,02W,CAPGEMINI SE,EUR,1,163592949,573587.0,75.51436672239589,80.04,78.71,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37760884,Y,286,4163437,0,FRA,FRA,0
