datadate,gvkey,iid,conm,curcdd,ajexdi,cshoc,cshtrd,prccd,prchd,prcld,prcstd,qunit,curcddv,cheqv,cheqvgross,div,divd,divdgross,divdnet,divdtm,divgross,divnet,divrc,divrcgross,divrcnet,divsp,divspgross,divspnet,divsptm,anncdate,cheqvpaydate,divdpaydate,divrcpaydate,divsppaydate,paydate,recorddate,split,splitf,trfd,epf,exchg,SEDOL,tpci,fic,loc,monthend
2015-04-01,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1823737.0,,94.82,92.69,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-02,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1017672.0,93.41557020899789,93.87,92.74,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-03,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,,93.34045168233378,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-06,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,,93.26539356094295,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-07,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1502934.0,91.77157128331895,93.8,91.65,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-08,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1625501.0,90.33011005781569,93.08,91.72,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-09,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1482712.0,90.67461035359777,93.89,92.67,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-10,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1336978.0,90.73258093043138,94.86,93.54,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-13,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1170634.0,90.92655083089956,95.58,93.58,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-14,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1746645.0,90.26741677921329,95.7,93.14,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-15,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,3428798.0,87.0915519697357,96.09,90.75,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-16,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,3877400.0,84.98288819217129,90.5,87.65,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-17,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,2837962.0,86.35582982883415,88.63,86.94,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-20,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,2075707.0,86.49747125607246,89.37,87.82,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-21,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,3054371.0,88.20382113786324,92.21,90.08,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-22,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,5177303.0,97.67177363736857,103.45,97.11,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-23,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,2297609.0,96.63199026799526,101.9,99.72,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50185161,Y,104,B929F46,0,NLD,NLD,0
2015-04-24,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,2186987.0,95.36812369351138,100.3,98.9,10.0,1.0,EUR,,,0.7,0.7,0.7,,ND,0.7,,,,,,,,,2015-01-21,,2015-05-11,,,2015-05-11,2015-04-27,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-04-27,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,2047617.0,96.33487165603873,102.05,97.91,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-04-28,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1472243.0,96.59104035923477,101.35,99.27,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-04-29,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1912896.0,96.03029326679818,100.55,96.98,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-04-30,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,2189675.0,96.09676153108342,97.83,95.3,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,1
2015-05-01,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,,96.3288662208861,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-04,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1204990.0,95.7313717477725,98.77,95.63,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-05,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1710422.0,95.21506721483964,98.2,94.59,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-06,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1560218.0,94.68867711145718,95.42,93.33,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-07,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1541305.0,94.72218444271859,94.53,92.14,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-08,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1331899.0,94.10816965710414,96.67,94.21,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-11,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1150595.0,94.8595713533918,97.71,95.82,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-12,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1600244.0,95.24110962871002,96.98,95.27,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-13,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1369941.0,94.37731920294283,97.14,95.07,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-14,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,830835.0,95.0769841576065,97.21,94.95,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-15,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1320484.0,95.63210341985373,98.17,96.79,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-18,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,795267.0,95.4546079072829,97.8,95.97,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-19,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,1009198.0,95.78254211868243,100.45,98.2,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-20,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,621678.0,96.08173040654114,101.1,99.8,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
2015-05-21,61214,01W,ASML HOLDING NV,EUR,1.0,438271869.0,456863.0,95.38327698616935,100.65,99.91,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51245898,Y,104,B929F46,0,NLD,NLD,0
